league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
2. Bundesliga,Hertha BSC,44,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2025,€1.48m,€45.80m,1480000.0,45800000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Holstein Kiel,269,https://www.transfermarkt.com/holstein-kiel/startseite/verein/269/saison_id/2025,€1.15m,€35.53m,1150000.0,35530000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Hannover 96,42,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2025,€1.15m,€33.25m,1150000.0,33250000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Fortuna Düsseldorf,38,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38/saison_id/2025,€1.18m,€33.08m,1180000.0,33080000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SC Paderborn 07,127,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127/saison_id/2025,€1.09m,€32.73m,1090000.0,32729999.999999996,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,FC Schalke 04,33,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2025,€930k,€29.75m,930000.0,29750000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SV Darmstadt 98,105,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105/saison_id/2025,€932k,€26.10m,932000.0,26100000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Karlsruher SC,48,https://www.transfermarkt.com/karlsruher-sc/startseite/verein/48/saison_id/2025,€910k,€25.48m,910000.0,25480000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SpVgg Greuther Fürth,65,https://www.transfermarkt.com/spvgg-greuther-furth/startseite/verein/65/saison_id/2025,€744k,€20.83m,744000.0,20830000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Eintracht Braunschweig,23,https://www.transfermarkt.com/eintracht-braunschweig/startseite/verein/23/saison_id/2025,€706k,€19.05m,706000.0,19050000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
3. Liga,FC Hansa Rostock,30,https://www.transfermarkt.com/fc-hansa-rostock/startseite/verein/30/saison_id/2025,€312k,€9.98m,312000.0,9980000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
3. Liga,VfB Stuttgart II,102,https://www.transfermarkt.com/vfb-stuttgart-ii/startseite/verein/102/saison_id/2025,€329k,€9.88m,329000.0,9880000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
3. Liga,SV Wehen Wiesbaden,108,https://www.transfermarkt.com/sv-wehen-wiesbaden/startseite/verein/108/saison_id/2025,€278k,€8.33m,278000.0,8330000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
3. Liga,SSV Jahn Regensburg,109,https://www.transfermarkt.com/ssv-jahn-regensburg/startseite/verein/109/saison_id/2025,€313k,€8.15m,313000.0,8150000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
3. Liga,TSG 1899 Hoffenheim II,983,https://www.transfermarkt.com/tsg-1899-hoffenheim-ii/startseite/verein/983/saison_id/2025,€255k,€7.90m,255000.0,7900000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
3. Liga,SSV Ulm 1846,69,https://www.transfermarkt.com/ssv-ulm-1846/startseite/verein/69/saison_id/2025,€282k,€7.63m,282000.0,7630000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
