iter	MAE
0	4099724.927
1	4005468.285
2	3901545.516
3	3806816.528
4	3734578.404
5	3668576.888
6	3604585.564
7	3549367.389
8	3496721.21
9	3442826.755
10	3380269.053
11	3308547.8
12	3227433.017
13	3169446.562
14	3100564.402
15	3042681.205
16	2978669.146
17	2912374.505
18	2850447.519
19	2792637.11
20	2725909.989
21	2680011.737
22	2624974.409
23	2576981.239
24	2538999.427
25	2510633.704
26	2493933.03
27	2455192.718
28	2431019.18
29	2404954.618
30	2367857.187
31	2326637.872
32	2294690.383
33	2264575.536
34	2225072.031
35	2192806.508
36	2161896.03
37	2143607.655
38	2119950.603
39	2093426.947
40	2087778.38
41	2069426.906
42	2060383.374
43	2037471.279
44	2033725.614
45	2015333.829
46	2000720.204
47	1974024.931
48	1964690.693
49	1961449.65
50	1940709.384
51	1914509.74
52	1902290.054
53	1880159.812
54	1873318.893
55	1858725.615
56	1835688.179
57	1816081.496
58	1804280.213
59	1793547.114
60	1785462.398
61	1775090.831
62	1756863.36
63	1754177.91
64	1740060.009
65	1728864.895
66	1721482.605
67	1709693.42
68	1703710.538
69	1688678.675
70	1674297.758
71	1666407.281
72	1652818.449
73	1632826.601
74	1630889.828
75	1629695.453
76	1621791.58
77	1610933.585
78	1608688.548
79	1605328.05
80	1599539.651
81	1590649.949
82	1590285.056
83	1582441.798
84	1568768.531
85	1567225.303
86	1565758.008
87	1557175.415
88	1555898.022
89	1546333.676
90	1535940.602
91	1518511.01
92	1511729.783
93	1503895.244
94	1492380.991
95	1491491.649
96	1487975.774
97	1479364.816
98	1468569.209
99	1466748.3
100	1459453.998
101	1451869.856
102	1437816.298
103	1431092.925
104	1420572.111
105	1417666.446
106	1414261.055
107	1408914.638
108	1402345.237
109	1395780.756
110	1394388.678
111	1391469.712
112	1386002.656
113	1381335.208
114	1375206.858
115	1370299.885
116	1366202.184
117	1357090.245
118	1351134.556
119	1346116.115
120	1339629.634
121	1335039.287
122	1331796.188
123	1329189.891
124	1322608.933
125	1320013.768
126	1318970.329
127	1310588.679
128	1306283.499
129	1302249.22
130	1295734.292
131	1290977.095
132	1285941.236
133	1279064.315
134	1276230.752
135	1270656.812
136	1269894.622
137	1263593.119
138	1259858.015
139	1256654.421
140	1254692.746
141	1250079.706
142	1246869.834
143	1244194.364
144	1242350.055
145	1241701.904
146	1239261.355
147	1237357.567
148	1234010.868
149	1233223.327
150	1231022.165
151	1227613.284
152	1223113.465
153	1215929.737
154	1210545.184
155	1207119.701
156	1203470.75
157	1200516.481
158	1199817.022
159	1195059.439
160	1193574.951
161	1189228.312
162	1187679.381
163	1179277.206
164	1176271.121
165	1174843.916
166	1166696.236
167	1165439.499
168	1163388.196
169	1162123.503
170	1160898.399
171	1154988.646
172	1150856.114
173	1148154.213
174	1147114.283
175	1144607.741
176	1140015.791
177	1136413.562
178	1135068.719
179	1133539.802
180	1132327.557
181	1128984.905
182	1125139.252
183	1119981.814
184	1118959.195
185	1115367.65
186	1114770.498
187	1106216.439
188	1104991.664
189	1099921.269
190	1097593.078
191	1095403.514
192	1091807.592
193	1088856.05
194	1082385.355
195	1078794.949
196	1078005.812
197	1075849.999
198	1073518.534
199	1067851.885
200	1066835.537
201	1066163.768
202	1061729.1
203	1059334.184
204	1053512.664
205	1046795.372
206	1045111.24
207	1040686.495
208	1038350.208
209	1036693.536
210	1035354.272
211	1034412.749
212	1031592.214
213	1029359.701
214	1027473.286
215	1022185.465
216	1021560.901
217	1017505.745
218	1013561.996
219	1010914.195
220	1006849.146
221	1005284.305
222	1003824.954
223	1002484.424
224	1001050.4
225	1000154.159
226	997257.2913
227	995562.4604
228	993410.8193
229	990259.7405
230	984941.1682
231	984336.533
232	983190.6632
233	978276.8189
234	976589.7975
235	976022.0018
236	974038.5016
237	973222.8017
238	971414.6415
239	967609.4159
240	966291.2216
241	963572.3789
242	962788.8374
243	962024.3045
244	960236.2104
245	959651.4643
246	958930.3953
247	957707.8785
248	956458.014
249	954553.266
250	954105.5109
251	953285.5333
252	948109.1897
253	945652.8289
254	945090.7509
255	942961.6973
256	939670.1746
257	938719.2065
258	934405.9606
259	932798.3626
260	932177.8775
261	931679.2699
262	931173.9388
263	930455.8302
264	928563.1581
265	927659.1899
266	927182.9016
267	923852.982
268	922357.1775
269	920029.0687
270	919593.0972
271	918680.1195
272	917361.2295
273	914266.2771
274	912809.4561
275	908508.7068
276	907323.2955
277	906267.9606
278	905450.3249
279	903617.1054
280	901699.0563
281	899994.2136
282	899265.4543
283	897344.488
284	894921.1824
285	893486.3504
286	890331.0386
287	888703.4582
288	887388.4411
289	886735.5063
290	885602.0451
291	885241.1254
292	881984.2823
293	881135.7239
294	879396.3333
295	878219.0088
296	877321.4039
297	875799.8528
298	874358.476
299	873740.4305
300	870946.831
301	869472.7669
302	867627.5081
303	866632.4524
304	864440.4066
305	862968.7281
306	861817.5905
307	860301.6704
308	859459.7157
309	858380.4842
310	857394.0545
311	856127.6543
312	854310.7538
313	852219.4057
314	850918.857
315	848416.052
316	847367.3277
317	845461.3095
318	843932.3819
319	842867.5286
320	841685.6237
321	840947.364
322	839364.2736
323	839177.5141
324	838653.8344
325	837019.7788
326	836330.9242
327	836020.5641
328	834966.938
329	832986.4237
330	831182.3175
331	829032.9742
332	826334.2958
333	825349.6251
334	823964.5224
335	823355.6388
336	822753.453
337	822160.452
338	821711.9214
339	820062.5265
340	819139.0396
341	817100.0234
342	815630.1262
343	814910.9568
344	813029.228
345	812378.7906
346	811560.9303
347	809530.7883
348	806709.8702
349	805748.3647
350	805387.1694
351	803961.343
352	802890.7466
353	801914.0681
354	801464.6216
355	799924.6298
356	797928.6273
357	796611.2523
358	795702.6214
359	792978.409
360	791765.126
361	790976.9167
362	790706.8056
363	790035.4723
364	788160.201
365	786430.5744
366	785059.87
367	781029.168
368	780506.8749
369	780354.1149
370	779025.0766
371	777676.7559
372	775727.6643
373	775320.9453
374	774354.6975
375	771388.6331
376	769002.8238
377	768079.0856
378	767298.0068
379	766604.8393
380	766065.1354
381	765653.4879
382	763792.2132
383	763483.2678
384	762025.227
385	759824.9528
386	757374.1396
387	756070.0105
388	755700.6379
389	754183.4884
390	753241.2316
391	752094.9819
392	751363.9764
393	750513.8562
394	749408.4344
395	747864.7482
396	747403.1689
397	747156.479
398	746066.7578
399	743517.9216
400	743077.9118
401	742344.1744
402	741033.1528
403	740402.7615
404	738510.8295
405	737835.8097
406	736976.4798
407	736188.8446
408	733060.1014
409	731868.754
410	731141.5857
411	729929.7555
412	728281.5208
413	726981.7442
414	725862.2675
415	725516.9336
416	725228.9425
417	723782.0275
418	723332.9452
419	722277.5812
420	721241.4911
421	720312.0162
422	719035.1714
423	716608.4141
424	715497.2453
425	713821.3623
426	710874.406
427	709716.2042
428	708827.6811
429	708286.3835
430	707969.281
431	707080.0101
432	706110.0215
433	705887.1666
434	704378.5979
435	703699.6604
436	702595.4412
437	700407.7586
438	700008.5439
439	699516.1571
440	698664.2883
441	697568.4705
442	696882.4595
443	696175.448
444	694945.0917
445	694424.4922
446	693591.7126
447	692517.3605
448	689983.7351
449	688774.5408
450	687384.2566
451	685619.8003
452	684194.5803
453	683423.8365
454	682475.2285
455	681705.1891
456	680992.6807
457	680217.6053
458	679676.124
459	678906.7996
460	678269.5378
461	677166.5011
462	676070.6531
463	674604.0039
464	674388.627
465	673233.6959
466	671486.0323
467	670389.9975
468	669267.0803
469	667961.852
470	666647.0625
471	665489.5578
472	665172.252
473	664240.3861
474	663700.511
475	662436.1724
476	661564.6276
477	660609.6734
478	660199.8745
479	657992.2172
480	657124.4082
481	656322.6098
482	654899.8895
483	652999.9406
484	651000.201
485	649924.5635
486	648370.9353
487	648050.5252
488	646407.3277
489	645584.3093
490	643847.0255
491	642740.8113
492	642060.4709
493	640699.0494
494	639632.1563
495	639200.8986
496	638523.6441
497	638447.6199
498	637685.1266
499	636852.6131
500	636507.6499
501	634841.0153
502	634730.6942
503	634223.2249
504	632768.3311
505	632295.9426
506	631197.2384
507	630655.1125
508	629264.4279
509	628054.8965
510	626969.3042
511	625653.2924
512	625137.7101
513	624438.4544
514	623583.2315
515	622668.9853
516	621779.24
517	620486.1576
518	619229.906
519	617829.9699
520	617514.1879
521	616229.5138
522	615220.1449
523	613969.8553
524	612784.3439
525	611823.538
526	609797.9769
527	609351.0983
528	607972.161
529	607139.1153
530	606299.2802
531	605484.4986
532	604249.7262
533	603820.5528
534	602800.0819
535	602418.8616
536	600973.1984
537	600329.4454
538	599963.0652
539	598788.6885
540	597293.4302
541	596759.3545
542	596232.4674
543	595361.2831
544	594337.9371
545	593862.9562
546	593386.0885
547	593057.6975
548	591562.6124
549	590906.7482
550	590107.6251
551	588430.8608
552	587668.3514
553	587151.8249
554	586145.129
555	584932.4901
556	584472.2441
557	583830.5813
558	583160.0206
559	583020.001
560	582400.3604
561	581773.6491
562	581120.9693
563	580434.7177
564	579315.2379
565	579088.7227
566	576948.8179
567	576372.9071
568	575570.9422
569	575411.5132
570	573880.4453
571	573707.2819
572	572269.5795
573	572051.2409
574	571330.3962
575	570439.2856
576	569244.4435
577	568642.989
578	568043.1771
579	567732.1709
580	566153.3705
581	565572.6703
582	564422.0177
583	564156.2712
584	563509.8062
585	561328.6649
586	560520.844
587	560351.9628
588	560063.1109
589	558574.3054
590	558388.0517
591	557804.4411
592	557169.0033
593	556206.6359
594	555729.4088
595	554501.6797
596	554130.7206
597	553923.47
598	553520.0743
599	552545.9934
600	551769.7567
601	551024.3559
602	550815.1507
603	550191.6835
604	550052.4459
605	549429.6694
606	549026.9587
607	548218.2492
608	547472.7797
609	546699.9939
610	546419.6579
611	545681.7342
612	544806.6683
613	544208.8854
614	543776.6161
615	543160.5417
616	543047.5763
617	542658.6961
618	542416.304
619	542133.8979
620	541318.2494
621	541223.4776
622	540818.8018
623	539948.9304
624	539835.5104
625	538711.9987
626	538435.0719
627	537958.6405
628	537548.6061
629	536865.6745
630	536738.1046
631	536324.3927
632	535804.8834
633	535356.805
634	534978.8275
635	534464.12
636	533870.3612
637	533131.8025
638	532807.2978
639	532309.0023
640	531425.2454
641	531009.9741
642	530231.5088
643	530032.9163
644	529627.2711
645	529137.5437
646	528405.6511
647	528288.2173
648	527081.1265
649	526863.547
650	526195.4696
651	525817.1498
652	525057.8116
653	524802.808
654	524316.7641
655	524027.3998
656	523624.6845
657	522977.7651
658	521683.7088
659	521137.6405
660	519999.0549
661	519705.612
662	519380.911
663	518430.2982
664	517760.3692
665	517241.6537
666	516315.2186
667	516062.247
668	515640.4705
669	515179.4921
670	514376.2367
671	513815.8691
672	513686.558
673	513222.2769
674	512125.6356
675	511102.3033
676	510427.4117
677	509889.4815
678	509678.4518
679	508915.7517
680	508497.2069
681	508302.3497
682	507913.3595
683	507588.4373
684	506724.2691
685	506196.1104
686	505251.6171
687	505103.4457
688	504433.6369
689	504169.1862
690	503690.4576
691	503308.7452
692	502953.1998
693	502792.9929
694	502589.4638
695	502160.6833
696	502006.2982
697	501906.8581
698	501324.1699
699	500992.3949
700	500403.4636
701	499802.5159
702	498990.024
703	498920.5543
704	498786.4586
705	498637.6256
706	498221.3062
707	497842.8782
708	497566.0389
709	497119.8477
710	496764.1194
711	496630.378
712	496287.9947
