iter	Passed	Remaining
0	61	92049
1	78	59026
2	99	49864
3	122	45875
4	138	41470
5	150	37497
6	166	35463
7	186	34719
8	618	102458
9	631	94096
10	648	87833
11	663	82245
12	681	77897
13	704	74774
14	723	71592
15	734	68163
16	752	65603
17	765	63002
18	781	60922
19	795	58851
20	814	57328
21	832	55902
22	851	54665
23	865	53247
24	885	52232
25	906	51400
26	923	50406
27	938	49324
28	961	48779
29	980	48046
30	1002	47501
31	1018	46732
32	1034	45970
33	1047	45157
34	1062	44492
35	1080	43946
36	1099	43456
37	1115	42922
38	1128	42263
39	1146	41847
40	1148	40868
41	1162	40356
42	1177	39907
43	1196	39598
44	1203	38921
45	1218	38514
46	1230	38054
47	1246	37697
48	1260	37327
49	1274	36950
50	1286	36557
51	1300	36215
52	1314	35880
53	1329	35613
54	1342	35259
55	1358	35040
56	1380	34942
57	1396	34725
58	1413	34528
59	1428	34282
60	1441	34008
61	1456	33779
62	1472	33597
63	1491	33470
64	1504	33211
65	1518	33001
66	1533	32803
67	1548	32614
68	1565	32466
69	1580	32292
70	1602	32247
71	1617	32088
72	1633	31928
73	1646	31725
74	1660	31554
75	1674	31381
76	1690	31246
77	1708	31143
78	1722	30988
79	1735	30812
80	1751	30676
81	1766	30541
82	1767	30183
83	1780	30012
84	1795	29883
85	1815	29846
86	1829	29721
87	1850	29687
88	1862	29535
89	1875	29385
90	1890	29269
91	1912	29269
92	1936	29290
93	1959	29309
94	1975	29221
95	1997	29207
96	2013	29129
97	2027	29004
98	2041	28892
99	2057	28802
100	2072	28707
101	2088	28618
102	2103	28534
103	2120	28462
104	2133	28342
105	2147	28247
106	2159	28117
107	2175	28040
108	2190	27949
109	2208	27912
110	2224	27838
111	2240	27764
112	2255	27685
113	2274	27651
114	2293	27618
115	2310	27561
116	2324	27480
117	2342	27435
118	2355	27339
119	2371	27277
120	2390	27247
121	2415	27280
122	2434	27249
123	2455	27245
124	2471	27186
125	2488	27131
126	2503	27067
127	2517	26988
128	2534	26933
129	2550	26876
130	2565	26807
131	2580	26739
132	2600	26724
133	2617	26680
134	2634	26632
135	2649	26577
136	2666	26530
137	2680	26454
138	2696	26404
139	2712	26347
140	2727	26287
141	2741	26219
142	2758	26172
143	2777	26153
144	2793	26104
145	2808	26043
146	2822	25975
147	2840	25945
148	2854	25878
149	2869	25829
150	2885	25774
151	2899	25717
152	2915	25668
153	2932	25629
154	2945	25558
155	2961	25516
156	2974	25446
157	2988	25383
158	3001	25317
159	3017	25268
160	3030	25203
161	3045	25156
162	3059	25098
163	3077	25068
164	3093	25026
165	3110	24994
166	3123	24933
167	3138	24882
168	3153	24832
169	3168	24789
170	3183	24739
171	3197	24689
172	3213	24646
173	3228	24600
174	3242	24549
175	3257	24504
176	3271	24453
177	3286	24406
178	3301	24364
179	3316	24319
180	3330	24267
181	3343	24216
182	3356	24157
183	3374	24135
184	3393	24124
185	3409	24085
186	3422	24027
187	3435	23977
188	3446	23908
189	3463	23877
190	3476	23824
191	3489	23774
192	3506	23743
193	3520	23697
194	3534	23650
195	3549	23616
196	3562	23564
197	3576	23521
198	3589	23465
199	3603	23424
200	3615	23368
201	3633	23347
202	3649	23319
203	3670	23317
204	3683	23267
205	3698	23229
206	3711	23180
207	3727	23154
208	3741	23111
209	3759	23091
210	3770	23036
211	3786	23002
212	3799	22957
213	3812	22908
214	3827	22876
215	3841	22835
216	3855	22793
217	3871	22764
218	3884	22720
219	3898	22681
220	3911	22637
221	3927	22608
222	3939	22557
223	3960	22562
224	3975	22527
225	3990	22497
226	4002	22448
227	4016	22407
228	4029	22363
229	4050	22366
230	4068	22352
231	4091	22364
232	4110	22349
233	4141	22407
234	4157	22381
235	4172	22349
236	4186	22310
237	4199	22269
238	4214	22236
239	4228	22201
240	4246	22182
241	4259	22144
242	4273	22104
243	4287	22070
244	4301	22035
245	4315	21996
246	4327	21954
247	4346	21941
248	4358	21898
249	4373	21866
250	4385	21823
251	4401	21797
252	4414	21759
253	4429	21730
254	4443	21692
255	4456	21655
256	4471	21627
257	4488	21605
258	4501	21571
259	4518	21549
260	4533	21521
261	4548	21492
262	4560	21450
263	4575	21419
264	4587	21379
265	4603	21354
266	4617	21321
267	4632	21293
268	4644	21256
269	4661	21234
270	4672	21191
271	4686	21157
272	4700	21126
273	4714	21094
274	4733	21083
275	4747	21052
276	4763	21033
277	4779	21008
278	4796	20990
279	4809	20957
280	4825	20931
281	4839	20900
282	4852	20867
283	4866	20837
284	4878	20798
285	4894	20774
286	4907	20739
287	4921	20711
288	4934	20675
289	4948	20648
290	4960	20611
291	4974	20581
292	4989	20553
293	5003	20525
294	5018	20498
295	5031	20466
296	5045	20437
297	5058	20404
298	5071	20369
299	5084	20338
300	5098	20311
301	5112	20282
