club,league_name,country_name,average_rating,coach_name,stadium_name
Liverpool,Premier League,England,85,arne slot,Anfield
FC Barcelona,La Liga,Spain,85,hans dieter flick,El Libertador
Real Madrid,La Liga,Spain,85,xabier alonso olano,Estadio Santiago Bernabéu
Arsenal,Premier League,England,84,mikel arteta amatriain,Emirates Stadium
Manchester City,Premier League,England,84,josep guardiola i sala,Etihad Stadium
FC Bayern München,Bundesliga,Germany,84,vincent kompany,Allianz Arena
Inter,Serie A,Italy,84,cristian eugen chivu,Waldstadion
Paris Saint-Germain,Ligue 1 Uber Eats,France,84,luis enrique martinez garcia,Parc des Princes
Atlético Madrid,La Liga,Spain,82,diego pablo simeone,Wanda Metropolitano
Newcastle United,Premier League,England,81,eddie howe,St. James' Park
Tottenham Hotspur,Premier League,England,81,thomas frank,Tottenham Hotspur Stadium
Borussia Dortmund,Bundesliga,Germany,81,andreas patz,Signal Iduna Park
Napoli,Serie A,Italy,81,antonio conte,Stadio Diego Armando Maradona
Aston Villa,Premier League,England,80,unai emery etxegoien,Villa Park
Chelsea,Premier League,England,80,enzo maresca,Stamford Bridge
Manchester United,Premier League,England,80,ruben filipe marques amorim,Old Trafford
Juventus,Serie A,Italy,80,igor tudor,Juventus Arena
AC Milan,Serie A,Italy,80,massimiliano allegri,Waldstadion
Roma,Serie A,Italy,80,gian piero gasperini,Stadion Olympik
Galatasaray SK,Turkish Süper Lig,Türkiye,80,okan buruk,RAMS Park
Athletic Club,La Liga,Spain,80,ernesto valverde tejedor,Estadio San Mamés
Crystal Palace,Premier League,England,79,oliver glasner,Selhurst Park
Nottingham Forest,Premier League,England,79,angelos postecoglou,The City Ground
Bayer 04 Leverkusen,Bundesliga,Germany,79,kasper hjulmand,BayArena
Atalanta,Serie A,Italy,79,ivan juric,Stadio Classico
Lazio,Serie A,Italy,79,maurizio sarri,Stadion Olympik
Fenerbahçe SK,Turkish Süper Lig,Türkiye,79,domenico tedesco,Ülker Stadyumu
Real Betis Balompié,La Liga,Spain,79,manuel luis pellegrini ripamonti,Estadio Benito Villamarín
Olympique de Marseille,Ligue 1 Uber Eats,France,79,roberto de zerbi,Orange Vélodrome
Sporting CP,Primeira Liga,Portugal,79,rui manuel gomes borges,Estádio José Alvalade
Brighton & Hove Albion,Premier League,England,78,fabian hurzeler,The Amex Stadium
Eintracht Frankfurt,Bundesliga,Germany,78,dino toppmoller,Deutsche Bank Park
RB Leipzig,Bundesliga,Germany,78,ole werner,Red Bull Arena (Leipzig)
AS Monaco,Ligue 1 Uber Eats,France,78,adolf hutter,Euro Arena
AFC Bournemouth,Premier League,England,78,andoni iraola sagarna,Vitality Stadium
