league_name,club,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
2. Bundesliga,Hertha BSC,€1.48m,€45.80m,1480000.0,45800000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Holstein Kiel,€1.15m,€35.53m,1150000.0,35530000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,VfL Bochum,€1.15m,€35.50m,1150000.0,35500000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,1.FC Nuremberg,€1.01m,€34.45m,1010000.0,34450000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Hannover 96,€1.15m,€33.25m,1150000.0,33250000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Fortuna Düsseldorf,€1.18m,€33.08m,1180000.0,33080000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SC Paderborn 07,€1.09m,€32.73m,1090000.0,32729999.999999996,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,FC Schalke 04,€930k,€29.75m,930000.0,29750000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,1.FC Magdeburg,€779k,€28.05m,779000.0,28050000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,1.FC Kaiserslautern,€962k,€26.93m,962000.0,26930000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SV Darmstadt 98,€932k,€26.10m,932000.0,26100000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Karlsruher SC,€910k,€25.48m,910000.0,25480000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SV 07 Elversberg,€874k,€24.48m,874000.0,24480000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SpVgg Greuther Fürth,€768k,€20.73m,768000.0,20730000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Eintracht Braunschweig,€706k,€19.05m,706000.0,19050000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Preußen Münster,€604k,€17.53m,604000.0,17530000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Arminia Bielefeld,€537k,€15.58m,537000.0,15580000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SG Dynamo Dresden,€555k,€13.88m,555000.0,13880000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
3. Liga,FC Hansa Rostock,€312k,€9.98m,312000.0,9980000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
3. Liga,VfB Stuttgart II,€329k,€9.88m,329000.0,9880000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
3. Liga,1.FC Saarbrücken,€322k,€9.35m,322000.0,9350000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
3. Liga,TSV 1860 Munich,€316k,€9.15m,316000.0,9150000.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
