league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
2. Bundesliga,Hertha BSC,44,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2025,€1.48m,€45.80m,1480000.0,45800000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Holstein Kiel,269,https://www.transfermarkt.com/holstein-kiel/startseite/verein/269/saison_id/2025,€1.15m,€35.53m,1150000.0,35530000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,VfL Bochum,80,https://www.transfermarkt.com/vfl-bochum/startseite/verein/80/saison_id/2025,€1.18m,€35.50m,1180000.0,35500000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,1.FC Nuremberg,4,https://www.transfermarkt.com/1-fc-nurnberg/startseite/verein/4/saison_id/2025,€991k,€34.70m,991000.0,34700000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Hannover 96,42,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2025,€1.15m,€33.25m,1150000.0,33250000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Fortuna Düsseldorf,38,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38/saison_id/2025,€1.18m,€33.08m,1180000.0,33080000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SC Paderborn 07,127,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127/saison_id/2025,€1.09m,€32.73m,1090000.0,32729999.999999996,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,FC Schalke 04,33,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2025,€930k,€29.75m,930000.0,29750000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,1.FC Magdeburg,187,https://www.transfermarkt.com/1-fc-magdeburg/startseite/verein/187/saison_id/2025,€779k,€28.05m,779000.0,28050000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,1.FC Kaiserslautern,2,https://www.transfermarkt.com/1-fc-kaiserslautern/startseite/verein/2/saison_id/2025,€962k,€26.93m,962000.0,26930000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SV Darmstadt 98,105,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105/saison_id/2025,€932k,€26.10m,932000.0,26100000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Karlsruher SC,48,https://www.transfermarkt.com/karlsruher-sc/startseite/verein/48/saison_id/2025,€910k,€25.48m,910000.0,25480000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SV 07 Elversberg,64,https://www.transfermarkt.com/sv-07-elversberg/startseite/verein/64/saison_id/2025,€874k,€24.48m,874000.0,24480000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,SpVgg Greuther Fürth,65,https://www.transfermarkt.com/spvgg-greuther-furth/startseite/verein/65/saison_id/2025,€744k,€20.83m,744000.0,20830000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
2. Bundesliga,Eintracht Braunschweig,23,https://www.transfermarkt.com/eintracht-braunschweig/startseite/verein/23/saison_id/2025,€706k,€19.05m,706000.0,19050000.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
