player_id,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_league_id,country_league_name,country_flag,country_rating,country_position,country_kit_number,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_vision,mentality_penalties,mentality_composure,defending_defensive_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_gk_diving,goalkeeping_gk_handling,goalkeeping_gk_kicking,goalkeeping_gk_positioning,goalkeeping_gk_reflexes,play_styles,url,mentality_attack_position
231747,FC 26,K. Mbappé,Kylian Mbappé,"Kylian Mbappé (Kylian Mbappé Lottin, born 20 December 1998) is a French footballer who plays as a striker for Spanish club Real Madrid, and the France national team. In the game FC 26, his overall rating is 91.",https://cdn.sofifa.net/players/231/747/26_360.png,182,81,1998-12-20,"ST, LW, LM",91,94,173500000,610000,Right,4,5,5,Unique,Yes,368700000,"#Speedster, #Dribbler, #Distance shooter, #Acrobat, #Clinical finisher, #Complete forward",243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,5,ST,10,"Jul 1, 2024",2029,1335,France,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,ST,10,78,92,78,87,87,92,80,69,74,93,97,97,93,91,82,91,90,83,77,86,61,38,83,82,88,26,34,32,13,5,7,11,6,"Quick step, Finesse shot, Acrobatic, Low driven shot, Gamechanger, Rapid, First touch, One club player",https://sofifa.com/player/231747/kylian-mbappe/260006/,91
209331,FC 26,M. Salah,Mohamed Salah,"Mohamed Salah (Mohamed Salah Hamed Ghaly, born 15 June 1992) is an Egyptian footballer who plays as a right midfield for British club Liverpool. In the game FC 26, his overall rating is 91.",https://cdn.sofifa.net/players/209/331/26_360.png,175,72,1992-06-15,"RM, RW",91,91,82000000,370000,Left,3,4,5,Unique,Yes,151700000,"#Dribbler, #Crosser, #Acrobat",9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,5,RM,11,"Jul 1, 2017",2027,,Egypt,,,,,,,86,94,59,88,83,90,88,69,81,90,88,89,86,94,91,83,79,88,75,78,63,55,89,88,93,38,43,41,14,14,9,11,14,"Finesse shot, Low driven shot, Gamechanger, Whipped pass, Inventive, Technical, First touch, One club player",https://sofifa.com/player/209331/mohamed-salah/260006/,93
252371,FC 26,J. Bellingham,Jude Bellingham,"Jude Bellingham (Jude Victor William Bellingham, born 29 June 2003) is a British footballer who plays as a central attacking midfielder for Spanish club Real Madrid, and the England national team. In the game FC 26, his overall rating is 90.",https://cdn.sofifa.net/players/252/371/26_360.png,186,75,2003-06-29,"CAM, CM",90,94,174500000,320000,Right,4,4,5,Normal (170-185),Yes,370800000,"#Dribbler, #Playmaker, #Clinical finisher, #Complete midfielder, #Complete forward",243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,5,CAM,5,"Jul 1, 2023",2029,1318,England,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,CAM,10,66,88,75,90,77,91,73,68,89,91,81,80,83,91,83,86,85,94,80,87,85,82,90,74,90,77,79,77,14,11,10,5,8,"Relentless, Low driven shot, Gamechanger, Inventive, Slide tackle, Technical, First touch, Injury prone",https://sofifa.com/player/252371/jude-bellingham/260006/,91
239085,FC 26,E. Haaland,Erling Haaland,"Erling Haaland (Erling Braut Håland, born 21 July 2000) is a Norwegian footballer who plays as a striker for British club Manchester City, and the Norway national team. In the game FC 26, his overall rating is 90.",https://cdn.sofifa.net/players/239/085/26_360.png,195,94,2000-07-21,ST,90,92,157000000,260000,Left,3,3,5,Unique,Yes,302200000,"#Aerial threat, #Distance shooter, #Strength, #Clinical finisher, #Complete forward",10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,5,ST,9,"Jul 1, 2022",2034,1352,Norway,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,ST,9,58,94,83,77,90,79,77,62,66,82,79,92,71,93,69,94,92,76,93,83,88,43,74,90,86,38,47,29,7,14,13,11,7,"Low driven shot, Chip shot, Power shot, Precision header, Acrobatic, Gamechanger, Enforcer",https://sofifa.com/player/239085/erling-haaland/260006/,95
231866,FC 26,Rodri,Rodrigo Hernández Cascante,"Rodri (born 22 June 1996) is a Spanish footballer who plays as a central defensive midfielder for British club Manchester City, and the Spain national team. In the game FC 26, his overall rating is 90.",https://cdn.sofifa.net/players/231/866/26_360.png,190,82,1996-06-22,"CDM, CM",90,90,102000000,270000,Right,4,3,5,Normal (185+),Yes,188700000,#Distance shooter,10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,5,CDM,16,"Jul 4, 2019",2027,1362,Spain,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,SUB,16,76,74,81,93,71,84,86,64,91,90,65,65,66,93,67,92,83,91,83,89,85,84,84,62,93,88,87,82,10,10,7,14,8,"Tiki taka, Power shot, Long ball pass, Aerial fortress, Press proven, Bruiser, Injury prone",https://sofifa.com/player/231866/rodrigo-hernandez-cascante/260006/,76
231443,FC 26,O. Dembélé,Ousmane Dembélé,"Ousmane Dembélé (Masour Ousmane Dembélé, born 15 May 1997) is a French footballer who plays as a striker for French club Paris Saint-Germain, and the France national team. In the game FC 26, his overall rating is 90.",https://cdn.sofifa.net/players/231/443/26_360.png,178,67,1997-05-15,"ST, RW, CAM",90,90,122500000,220000,Left,5,5,5,Unique,Yes,226600000,"#Speedster, #Dribbler, #Distance shooter, #Acrobat, #Clinical finisher, #Complete forward",73,Paris Saint-Germain,16,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,5,ST,10,"Aug 12, 2023",2028,1335,France,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,RW,7,80,90,74,89,79,94,85,68,78,94,93,89,94,91,81,91,84,76,69,85,58,45,84,80,88,49,49,39,6,6,14,10,13,"Rapid, Low driven shot, Pinged pass, Inventive, Trickster, Quick step",https://sofifa.com/player/231443/ousmane-dembele/260006/,95
203376,FC 26,V. van Dijk,Virgil van Dijk,"Virgil van Dijk (born 8 July 1991) is a Dutch footballer who plays as a center back for British club Liverpool, and the Netherlands national team. In the game FC 26, his overall rating is 90.",https://cdn.sofifa.net/players/203/376/26_360.png,193,92,1991-07-08,CB,90,90,57000000,230000,Right,3,2,5,Unique,Yes,105500000,"#Tackling, #Tactician, #Strength, #Complete defender",9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,5,LCB,4,"Jan 1, 2018",2027,105035,Netherlands,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,LCB,4,53,52,88,80,45,70,60,70,83,77,66,78,54,90,50,81,89,75,93,64,85,91,70,62,90,91,91,87,13,10,13,11,11,"Intercept, Precision header, Pinged pass, Jockey, Anticipate, Aerial fortress, Bruiser, One club player",https://sofifa.com/player/203376/virgil-van-dijk/260006/,47
277643,FC 26,Lamine Yamal,Lamine Yamal Nasraoui Ebana,"Lamine Yamal (born 13 July 2007) is a Spanish footballer who plays as a right midfield for Spanish club FC Barcelona, and the Spain national team. In the game FC 26, his overall rating is 89.",https://cdn.sofifa.net/players/277/643/26_360.png,180,72,2007-07-13,"RM, RW",89,95,147000000,100000,Left,3,5,5,Lean (170-185),Yes,330800000,"#Dribbler, #Crosser, #Acrobat",241,FC Barcelona,53,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,5,RM,10,"Jul 1, 2022",2031,1362,Spain,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,RM,19,89,83,33,88,65,92,87,65,84,90,88,83,93,88,81,83,58,73,45,82,45,18,88,69,84,23,20,28,9,13,7,10,7,"Technical, Finesse shot, Gamechanger, Incisive pass, Inventive, First touch, Quick step",https://sofifa.com/player/277643/lamine-yamal-nasraoui-ebana/260006/,88
256630,FC 26,F. Wirtz,Florian Wirtz,"Florian Wirtz (Florian Richard Wirtz, born 3 May 2003) is a German footballer who plays as a central attacking midfielder for British club Liverpool, and the Germany national team. In the game FC 26, his overall rating is 89.",https://cdn.sofifa.net/players/256/630/26_360.png,177,71,2003-05-03,"CAM, ST, CM",89,93,150500000,190000,Right,4,4,5,Normal (170-185),Yes,289700000,"#Dribbler, #Playmaker, #Crosser, #Acrobat, #Complete midfielder",9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,5,SUB,7,"Jun 20, 2025",2030,1337,Germany,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,RAM,17,87,84,43,89,81,89,83,74,87,89,82,79,88,88,87,78,65,87,59,84,63,55,91,66,86,64,49,44,14,14,13,6,10,"Incisive pass, Finesse shot, Chip shot, Low driven shot, Inventive, Technical, First touch",https://sofifa.com/player/256630/florian-wirtz/260006/,85
255253,FC 26,Vitinha,Vítor Machado Ferreira,"Vitinha (born 13 February 2000) is a Portuguese footballer who plays as a center midfield for French club Paris Saint-Germain, and the Portugal national team. In the game FC 26, his overall rating is 89.",https://cdn.sofifa.net/players/255/253/26_360.png,172,64,2000-02-13,"CM, CDM, CAM",89,91,128500000,170000,Right,3,4,4,Lean (170-185),Yes,247400000,"#Dribbler, #Playmaker, #Acrobat, #Complete midfielder",73,Paris Saint-Germain,16,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,5,CM,17,"Jun 30, 2022",2029,1354,Portugal,78,Friendly International,https://cdn.sofifa.net/flags/undefined.png,5,CDM,23,78,80,52,90,62,91,81,69,89,88,75,69,91,88,89,77,66,87,59,84,77,85,90,88,88,74,79,69,12,13,8,5,5,"Technical, Finesse shot, Incisive pass, Long ball pass, Tiki taka, Intercept, Relentless",https://sofifa.com/player/255253/vitor-machado-ferreira/260006/,81
