name,full_name,height_cm,weight_kg,value,wage,preferred_foot,weak_foot,international_reputation,body_type,club_id,club_name,club_kit_number,club_contract_valid_until,country_name,country_kit_number,yearob,monthob,year_club_joined,month_club_joined,CAM,CDM,CM,LM,LW,RB,RM,RW,ST,CAM,CB,CDM,CM,GK,LM,LW,RB,RM,ST,#Acrobat,#Clinical finisher,#Complete defender,#Complete forward,#Complete midfielder,#Crosser,#Distance shooter,#Dribbler,#Playmaker,#Strength,#Tackling,#Tactician,#Aerial threat,#Distance shooter,#Dribbler,#Playmaker,#Speedster,#Tackling,Acrobatic,Aerial fortress,Anticipate,Bruiser,Chip shot,Deflector,Enforcer,Far throw,Finesse shot,First touch,Footwork,Gamechanger,Incisive pass,Injury prone,Intercept,Inventive,Jockey,Long ball pass,Low driven shot,One club player,Pinged pass,Power shot,Precision header,Press proven,Quick step,Rapid,Relentless,Slide tackle,Technical,Tiki taka,Trickster,Whipped pass,Deflector,Finesse shot,First touch,Incisive pass,Intercept,Long ball pass,Low driven shot,Quick step,Rapid,Relentless,Rush out,Technical,Tiki taka
K. Mbappé,Kylian Mbappé,182,81,173500000,610000,Right,4,5,Unique,243,Real Madrid,10,2029,France,10,1998,12,2024,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M. Salah,Mohamed Salah,175,72,82000000,370000,Left,3,5,Unique,9,Liverpool,11,2027,Egypt,0,1992,6,2017,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
J. Bellingham,Jude Bellingham,186,75,174500000,320000,Right,4,5,Normal (170-185),243,Real Madrid,5,2029,England,10,2003,6,2023,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E. Haaland,Erling Haaland,195,94,157000000,260000,Left,3,5,Unique,10,Manchester City,9,2034,Norway,9,2000,7,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rodri,Rodrigo Hernández Cascante,190,82,102000000,270000,Right,4,5,Normal (185+),10,Manchester City,16,2027,Spain,16,1996,6,2019,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O. Dembélé,Ousmane Dembélé,178,67,122500000,220000,Left,5,5,Unique,73,Paris Saint-Germain,10,2028,France,7,1997,5,2023,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V. van Dijk,Virgil van Dijk,193,92,57000000,230000,Right,3,5,Unique,9,Liverpool,4,2027,Netherlands,4,1991,7,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lamine Yamal,Lamine Yamal Nasraoui Ebana,180,72,147000000,100000,Left,3,5,Lean (170-185),241,FC Barcelona,10,2031,Spain,19,2007,7,2022,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F. Wirtz,Florian Wirtz,177,71,150500000,190000,Right,4,5,Normal (170-185),9,Liverpool,7,2030,Germany,17,2003,5,2025,6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vitinha,Vítor Machado Ferreira,172,64,128500000,170000,Right,3,4,Lean (170-185),73,Paris Saint-Germain,17,2029,Portugal,23,2000,2,2022,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pedri,Pedro González López,174,60,149500000,170000,Right,4,4,Lean (170-185),241,FC Barcelona,8,2030,Spain,20,2002,11,2020,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
